Id,category
314,Fantasy
314,Paranormal
314,Vampires
314,Fantasy
314,Paranormal
314,Fantasy
314,Urban Fantasy
314,Romance
314,Fiction
314,Mystery
315,Fiction
315,Historical
315,Historical Fiction
315,Lgbt
315,Classics
315,Womens Fiction
315,Chick Lit
315,American
315,Southern
316,Romance
316,Adult Fiction
316,Erotica
316,Fiction
316,Erotica
316,Bdsm
316,Adult
317,Fiction
317,Magical Realism
317,Cultural
317,Japan
317,Fantasy
317,Asian Literature
317,Japanese Literature
317,Contemporary
318,Womens Fiction
318,Chick Lit
318,Fiction
318,Romance
318,Humor
318,Contemporary
319,Fantasy
319,Fiction
319,Fantasy
319,Epic Fantasy
320,Fiction
320,Classics
320,Short Stories
320,Literature
321,Fiction
321,Historical
321,Historical Fiction
321,Cultural
321,Africa
321,Classics
322,Young Adult
322,Contemporary
322,Romance
322,Fiction
323,Fiction
323,Classics
323,Cultural
323,Africa
323,Historical
323,Historical Fiction
323,Academic
323,School
323,Literature
324,Fantasy
324,Young Adult
324,Fantasy
324,Mythology
325,Classics
325,Fiction
325,Literature
325,Historical
325,Historical Fiction
325,Literature
325,19th Century
326,Nonfiction
326,Classics
326,History
326,Biography
326,Autobiography
326,Memoir
327,Fantasy
327,Classics
327,Fiction
327,Young Adult
327,Childrens
328,Fiction
328,Mystery
328,Thriller
328,Mystery
328,Crime
329,Fantasy
330,Nonfiction
330,Science
330,History
331,Fiction
331,Science Fiction
331,Science Fiction
331,Dystopia
332,Classics
332,Fiction
332,Literature
332,Novels
333,Fiction
333,Mystery
333,Thriller
333,Mystery
333,Crime
333,Suspense
334,Fiction
334,Contemporary
334,Literary Fiction
334,Book Club
335,Classics
335,Fiction
335,Fantasy
335,Adventure
335,Literature
335,Novels
335,Classics
335,Classic Literature
335,Literature
335,18th Century
335,Academic
335,School
335,European Literature
335,British Literature
336,Romance
336,Classics
336,Historical
336,Historical Fiction
336,Fiction
337,Historical
337,Historical Fiction
337,Fiction
337,Historical
337,Romance
337,Military History
337,Civil War
338,Adult Fiction
338,Erotica
338,Fiction
338,Erotica
338,Bdsm
338,Adult
338,Contemporary
338,Romance
338,Womens Fiction
338,Chick Lit
338,Romance
338,Contemporary Romance
338,Romance
338,Erotic Romance
338,New Adult
