Id,title,rating
681,Jude the Obscure,3.81
682,Linger,3.91
683,The Jungle Books,4.01
684,My Name Is Asher Lev,4.19
685,Watchers,4.17
686,Living Dead in Dallas,3.97
687,Odd Thomas,3.95
688,Cosmos,4.36
689,The Sirens of Titan,4.16
690,The Alienist,4.06
691,Inferno,3.82
692,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,4.15
693,Ender's Shadow,4.31
694,Assassin's Apprentice,4.15
695,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",3.95
696,One Day,3.78
697,The Power of Myth,4.3
698,Gift from the Sea,4.17
699,The Story of My Life,4.07
700,Song of Solomon,4.03
701,The Corrections,3.79
702,Under the Dome,3.9
703,The Bluest Eye,4
704,The Portrait of a Lady,3.77
705,Night,4.31
706,Cryptonomicon,4.25
707,Walk Two Moons,3.96
708,"One Fish, Two Fish, Red Fish, Blue Fish",4.12
709,Princess Academy,4.02
710,Because of Winn-Dixie,4.02
711,The Namesake,3.97
712,Hard-Boiled Wonderland and the End of the World,4.15
713,Digital Fortress,3.63
714,The Magic Mountain,4.14
715,A Monster Calls,4.37
716,گم شده ای در مه,4.12
717,Finale,4.21
718,A Canticle for Leibowitz,3.98
719,Mary Poppins,4.04
720,An Abundance of Katherines,3.61
721,The Sisterhood of the Traveling Pants,3.77
722,Howards End,3.96
723,Battle Royale,4.25
724,Dreamfever,4.42
725,Howl and Other Poems,4.14
726,City of Ashes,4.2
727,Fire,4.12
728,I Am the Messenger,4.08
729,Something Wicked This Way Comes,3.95
730,Reflected in You,4.33
731,It's Kind of a Funny Story,4.13
732,Starship Troopers,4
733,Cold Sassy Tree,4
734,Collected Fictions,4.59
735,The Moon is a Harsh Mistress,4.17
736,Ruby Red,4.12
737,Crank,4.16
738,The Death Cure,3.77
739,The Awakening,4.15
740,Gabriel's Inferno,4.01
741,Unravel Me,4.27
742,The Reckoning,4.21
743,Walking Disaster,4.23
744,Cress,4.45
745,Illusions: The Adventures of a Reluctant Messiah,4.14
746,Sense and Sensibility,4.06
747,The Invention of Hugo Cabret,4.23
748,Death on the Nile,4.08
749,Tender Is the Night,3.83
750,The Restaurant at the End of the Universe,4.22
751,Ethan Frome,3.38
752,Revolutionary Road,3.9
753,Antigone,3.61
754,Daughter of the Forest,4.28
755,Specials,3.77
756,The Golden Lily,4.36
757,The Witch of Blackbird Pond,3.98
758,The Two Towers,4.43
759,The Sea of Tranquility,4.33
760,The Hotel New Hampshire,3.9
761,Small Gods,4.28
762,A Million Little Pieces,3.63
763,Twenty Thousand Leagues Under the Sea,3.87
764,Dandelion Wine,4.09
765,Exodus,4.34
766,One Foot in the Grave,4.31
767,Guilty Pleasures,4.02
768,The Sparrow,4.17
769,Kane and Abel,4.28
770,I'll Give You the Sun,4.13
771,Words of Radiance,4.77
772,Burned,3.98
773,Still Alice,4.31
774,Forrest Gump,4.06
775,The Lies of Locke Lamora,4.3
776,Definitely Dead,4.02
777,"Night World, No. 1",4.05
778,"Absalom, Absalom!",3.96
779,The Forgotten Garden,4.13
780,Nausea,3.92
781,The Agony and the Ecstasy,4.07
782,Opal,4.32
783,"The Poetry of Robert Frost (Collected Poems, Complete & Unabridged)",4.23
784,Ficciones,4.46
785,The Lucky One,4.11
786,Christy,4.22
787,Pandemonium,4.06
788,How to Win Friends and Influence People,4.16
789,The Color of Magic,3.99
790,The Hunt for Red October,4.04
791,"84, Charing Cross Road",4.19
792,The Gargoyle,3.97
793,The Wedding,3.98
794,Trainspotting,4.09
795,Geek Love,3.98
796,The Passage,4.04
797,A Connecticut Yankee in King Arthur's Court,3.77
798,The Bridges of Madison County,3.57
799,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,4.07
800,The Millennium Trilogy,4.47
801,Lover Mine,4.41
802,How Green Was My Valley,4.16
803,The Story of Edgar Sawtelle,3.61
804,Wild Swans: Three Daughters of China,4.24
805,The City of Ember,3.86
806,Dead as a Doornail,4.01
807,On Writing: A Memoir of the Craft,4.32
808,Faefever,4.33
809,"Roll of Thunder, Hear My Cry",3.81
810,Thoughtless,4.11
811,Where the Heart Is,4.01
812,All Together Dead,4.05
813,Easy,4.1
814,Mystic River,4.19
815,The Awakening / The Struggle,3.67
816,From Dead to Worse,4.01
817,The Sorrows of Young Werther,3.65
818,Beach Music,4.14
819,A Walk in the Woods,4.05
820,A Moveable Feast,4.04
821,Emma,3.99
822,On the Beach,3.93
823,Fantasy Lover,4.17
824,The Bonfire of the Vanities,3.83
825,The Pact,4
826,Invisible Monsters Remix,4
827,Sonnets,4.24
828,Onyx,4.32
829,Macbeth,3.89
830,Red Queen,4.07
831,The Rime of the Ancient Mariner,3.93
832,Bitten,4.05
833,Wings,3.75
834,Tiger's Curse,4.06
835,Beauty: A Retelling of the Story of Beauty and the Beast,4.05
836,Deception Point,3.69
837,The Amulet of Samarkand,4
838,Holy Bible: New International Version,4.59
839,Choke,3.7
840,The Goldfinch,3.89
841,Still Life with Woodpecker,4.04
842,Redwall,4.12
843,"These Is My Words: The Diary of Sarah Agnes Prine, 1881-1901, Arizona Territories",4.34
844,The Bhagavad Gita,4.1
845,Orlando,3.86
846,The Dark Tower,4.28
847,Dead and Gone,4.01
848,Passion,3.89
849,Mort,4.23
850,Unearthly,4.04
851,Red Rising,4.27
852,Pale Fire,4.2
853,The House of Mirth,3.95
854,Around the World in Eighty Days,3.91
855,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,4.24
856,Blue Bloods,3.68
857,Survivor,3.93
858,Along for the Ride,4.07
859,Every Day,3.97
860,Beastly,3.84
861,The Brief Wondrous Life of Oscar Wao,3.9
862,Fablehaven,4.09
863,Eleven Minutes,3.69
864,All the Pretty Horses,3.98
865,The Guardian,4.15
866,The Horse Whisperer,3.79
867,Disgrace,3.84
868,The Story of Ferdinand,4.36
869,We,3.95
870,The Indigo Spell,4.4
871,The Razor's Edge,4.18
872,The Ruins of Gorlan,4.21
873,Safe Haven,4.2
874,Silas Marner,3.62
875,Dead Witch Walking,4.04
876,Shutter Island,4.09
877,This Lullaby,4.03
878,At Grave's End,4.31
879,Journey to the End of the Night,4.24
880,Childhood's End,4.1
881,"Will Grayson, Will Grayson",3.81
882,The Taming of the Shrew,3.81
883,Into the Wild,4.29
884,A Bend in the Road,4.03
